,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
20,United States,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0,2019.0,2019.0,2019.0,0,0,0,1,north_america
21,Costa Rica,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,2,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
22,Mexico,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0,1320.0,1320.0,1320.0,0,0,0,1,north_america
23,United States,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0,2112.0,2112.0,2112.0,0,0,0,1,north_america
25,Brazil,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,2,1250.0,1250.0,1250.0,0,0,0,0,south_america
27,Uganda,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,1,1950.0,1950.0,1950.0,0,0,0,1,africa
29,Taiwan,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0,1200.0,1200.0,1200.0,0,1,0,0,asia
32,Brazil,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,2,1300.0,1300.0,1300.0,0,0,0,0,south_america
33,Costa Rica,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
34,Ethiopia,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,3,1750.0,1800.0,1775.0,0,0,0,0,africa
35,Kenya,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,1,1800.0,1800.0,1800.0,0,0,0,1,africa
39,United States,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0,1941.0,1941.0,1941.0,0,0,0,1,north_america
40,Thailand,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,9,1300.0,1300.0,1300.0,0,0,0,1,southeast_asia
43,Taiwan,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0,1000.0,1000.0,1000.0,0,0,1,0,asia
44,Kenya,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,2,1754.0,1754.0,1754.0,0,0,0,0,africa
45,Brazil,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,2,1250.0,1250.0,1250.0,0,0,1,0,south_america
47,Colombia,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,1,900.0,1500.0,1200.0,0,0,0,1,south_america
48,Kenya,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,1,1520.0,2200.0,1860.0,0,0,0,1,africa
49,Uganda,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0,1400.0,1900.0,1650.0,0,0,0,1,africa
53,Uganda,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0,1400.0,1900.0,1650.0,0,0,0,0,africa
54,Colombia,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0,1800.0,1800.0,1800.0,0,0,0,1,south_america
55,Panama,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,0,1600.0,1600.0,1600.0,0,0,0,1,south_america
56,Ethiopia,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,4,1800.0,2000.0,1900.0,0,0,0,1,africa
